timestamp,symbol,exchange,bid,ask
1758892800,ETH/USDT,okx,3927.9999999999995,3928.01
1758892800,ETH/USDT,binance,3927.75,3927.76
1758892800,SOL/USDT,okx,195.79000000000002,195.8
1758892800,SOL/USDT,binance,195.78,195.79000000000002
1758892801,XRP/USDT,okx,2.7466,2.7469820670143212
1758892801,XRP/USDT,binance,2.7471000000000005,2.7472
1758892802,ADA/USDT,okx,0.7705,0.7706
1758892802,ADA/USDT,binance,0.7705,0.7706
1758892802,AVAX/USDT,okx,27.624,27.629
1758892802,AVAX/USDT,binance,27.62,27.63
1758892803,BNB/USDT,okx,945.4,945.4999999999999
1758892803,BNB/USDT,binance,945.6,945.61
1758892803,LINK/USDT,okx,20.393,20.395
1758892803,LINK/USDT,binance,20.39,20.4
1758892804,DOGE/USDT,okx,0.22595,0.226
1758892804,DOGE/USDT,binance,0.22598,0.22599
1758892805,SHIB/USDT,okx,1.341033171137475e-05,1.349773591595113e-05
1758892805,SHIB/USDT,binance,1.167e-05,1.198e-05
1758892810,BTC/USDT,okx,109324.2,109324.3
1758892810,BTC/USDT,binance,109228.96,109228.97
1758892811,ETH/USDT,okx,3927.5100000000007,3928.94
1758892811,ETH/USDT,binance,3926.59,3926.6
1758892811,SOL/USDT,okx,195.63,195.8
1758892811,SOL/USDT,binance,195.64000000000001,195.65
1758892812,XRP/USDT,okx,2.7450000000000006,2.749605159409818
1758892812,XRP/USDT,binance,2.7455,2.7455999999999996
1758892813,ADA/USDT,okx,0.7698999999999999,0.7703000000000001
1758892813,ADA/USDT,binance,0.7701,0.7701999999999999
1758892814,AVAX/USDT,okx,27.611248501236513,27.617
1758892814,AVAX/USDT,binance,27.61,27.62
1758892814,BNB/USDT,okx,944.7,944.8
1758892814,BNB/USDT,binance,945.0999999999999,945.11
1758892815,LINK/USDT,okx,20.377,20.381
1758892815,LINK/USDT,binance,20.37,20.38
1758892815,DOGE/USDT,okx,0.22575,0.2258
1758892815,DOGE/USDT,binance,0.22575,0.22576
1758892816,SHIB/USDT,okx,1.3410949182844142e-05,1.349773591595113e-05
1758892816,SHIB/USDT,binance,1.1660000000000002e-05,1.213e-05
1758892820,BTC/USDT,okx,109324.2,109324.3
1758892820,BTC/USDT,binance,109228.96,109228.97
1758892821,ETH/USDT,okx,3927.1,3928.94
1758892821,ETH/USDT,binance,3926.59,3926.6
1758892822,SOL/USDT,okx,195.64000000000001,195.69000000000003
1758892822,SOL/USDT,binance,195.64000000000001,195.65
1758892823,XRP/USDT,okx,2.7453999999999996,2.7457
1758892823,XRP/USDT,binance,2.7455,2.7455999999999996
1758892823,ADA/USDT,okx,0.7701,0.7704000000000001
1758892823,ADA/USDT,binance,0.7701999999999999,0.7703000000000001
1758892824,AVAX/USDT,okx,27.623,27.626
1758892824,AVAX/USDT,binance,27.61,27.62
1758892825,BNB/USDT,okx,945.2,945.3
1758892825,BNB/USDT,binance,945.31,945.32
1758892825,LINK/USDT,okx,20.378,20.381
1758892825,LINK/USDT,binance,20.37,20.38
1758892826,DOGE/USDT,okx,0.22575,0.2258
1758892826,DOGE/USDT,binance,0.22577,0.22578
1758892827,SHIB/USDT,okx,1.3410949182844142e-05,1.349773591595113e-05
1758892827,SHIB/USDT,binance,1.1660000000000002e-05,1.197e-05
1758892832,BTC/USDT,okx,109223.5,109240.0
1758892832,BTC/USDT,binance,109222.52,109222.53
1758892832,ETH/USDT,okx,3925.77,3925.7821484357037
1758892832,ETH/USDT,binance,3925.97,3925.98
1758892833,SOL/USDT,okx,195.58999999999997,195.63
1758892833,SOL/USDT,binance,195.64000000000001,195.65
1758892834,XRP/USDT,okx,2.7453,2.746
1758892834,XRP/USDT,binance,2.7455,2.7455999999999996
1758892834,ADA/USDT,okx,0.7701999999999999,0.7704000000000001
1758892834,ADA/USDT,binance,0.7701999999999999,0.7703000000000001
1758892835,AVAX/USDT,okx,27.623248609237486,27.631585526217105
1758892835,AVAX/USDT,binance,27.62,27.63
1758892835,BNB/USDT,okx,945.4999999999999,945.6
1758892835,BNB/USDT,binance,945.31,945.32
1758892836,LINK/USDT,okx,20.375,20.384
1758892836,LINK/USDT,binance,20.37,20.38
1758892837,DOGE/USDT,okx,0.22575,0.22585
1758892837,DOGE/USDT,binance,0.22577,0.22578
1758892837,SHIB/USDT,okx,1.3410949182844142e-05,1.349773591595113e-05
1758892837,SHIB/USDT,binance,1.1660000000000002e-05,1.196e-05
1758892842,BTC/USDT,okx,109256.3,109256.7
1758892842,BTC/USDT,binance,109235.99,109236.0
1758892842,ETH/USDT,okx,3927.15,3927.168582651339
1758892842,ETH/USDT,binance,3926.6699999999996,3926.68
1758892843,SOL/USDT,okx,195.68,195.78
1758892843,SOL/USDT,binance,195.78,195.79000000000002
1758892844,XRP/USDT,okx,2.7460999999999998,2.7467
1758892844,XRP/USDT,binance,2.7460999999999998,2.7462
1758892844,ADA/USDT,okx,0.7708,0.7709
1758892844,ADA/USDT,binance,0.7706999999999999,0.7708
1758892845,AVAX/USDT,okx,27.637,27.639
1758892845,AVAX/USDT,binance,27.63,27.64
1758892845,BNB/USDT,okx,945.7,945.9
1758892845,BNB/USDT,binance,945.83,945.84
1758892846,LINK/USDT,okx,20.394,20.399
1758892846,LINK/USDT,binance,20.39,20.4
1758892846,DOGE/USDT,okx,0.2259,0.226
1758892846,DOGE/USDT,binance,0.22594,0.22595
1758892847,SHIB/USDT,okx,1.3410949182844142e-05,1.349773591595113e-05
1758892847,SHIB/USDT,binance,1.167e-05,1.213e-05
1758892852,BTC/USDT,okx,109418.1,109422.5
1758892852,BTC/USDT,binance,109235.99,109255.91
1758892853,ETH/USDT,okx,3929.28,3929.3
1758892853,ETH/USDT,binance,3926.6699999999996,3926.68
1758892853,SOL/USDT,okx,195.85,195.86494970061796
1758892853,SOL/USDT,binance,195.78,195.79000000000002
1758892854,XRP/USDT,okx,2.7477,2.748
1758892854,XRP/USDT,binance,2.7460999999999998,2.7462
1758892854,ADA/USDT,okx,0.7712,0.7715
1758892854,ADA/USDT,binance,0.7706999999999999,0.7708
1758892855,AVAX/USDT,okx,27.653,27.654
1758892855,AVAX/USDT,binance,27.63,27.64
1758892855,BNB/USDT,okx,946.1,946.2866516804916
1758892855,BNB/USDT,binance,946.47,946.48
1758892856,LINK/USDT,okx,20.408,20.412
1758892856,LINK/USDT,binance,20.41,20.42
1758892856,DOGE/USDT,okx,0.22605,0.2261
1758892856,DOGE/USDT,binance,0.22607,0.22608
1758892857,SHIB/USDT,okx,1.3410949182844142e-05,1.349773591595113e-05
1758892857,SHIB/USDT,binance,1.167e-05,1.196e-05
1758892869,BTC/USDT,okx,109422.9,109423.87333897295
1758892869,BTC/USDT,binance,109287.99,109288.0
1758892870,ETH/USDT,okx,3929.2,3929.2699999999995
1758892870,ETH/USDT,binance,3928.82,3928.83
1758892870,SOL/USDT,okx,195.99,196.0
1758892870,SOL/USDT,binance,195.9,195.91999999999996
1758892871,XRP/USDT,okx,2.7487,2.7495643546422075
1758892871,XRP/USDT,binance,2.7489,2.749
1758892872,ADA/USDT,okx,0.7716,0.7717
1758892872,ADA/USDT,binance,0.7717999999999999,0.7719
1758892873,AVAX/USDT,okx,27.683,27.689
1758892873,AVAX/USDT,binance,27.66,27.67
1758892873,BNB/USDT,okx,946.8,946.9
1758892873,BNB/USDT,binance,946.68,946.69
1758892874,LINK/USDT,okx,20.421,20.423
1758892874,LINK/USDT,binance,20.42,20.43
1758892875,DOGE/USDT,okx,0.2261,0.22615
1758892875,DOGE/USDT,binance,0.22618,0.22619
1758892876,SHIB/USDT,okx,1.3404471464083227e-05,1.3505604366393967e-05
1758892876,SHIB/USDT,binance,1.1680000000000002e-05,1.195e-05
1758892880,BTC/USDT,okx,109416.5,109420.0
1758892880,BTC/USDT,binance,109301.68,109301.69
1758892880,ETH/USDT,okx,3930.3800000000006,3930.7553459856704
1758892880,ETH/USDT,binance,3929.0,3929.01
1758892881,SOL/USDT,okx,196.02999999999997,196.0497750132782
1758892881,SOL/USDT,binance,196.11,196.12
1758892881,XRP/USDT,okx,2.7494,2.7494999999999994
1758892881,XRP/USDT,binance,2.7489,2.749
1758892882,ADA/USDT,okx,0.7717999999999999,0.7721000000000001
1758892882,ADA/USDT,binance,0.7717999999999999,0.7719
1758892883,AVAX/USDT,okx,27.682,27.686
